open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp,close_timestamp,exchange,symbol,spread_bps,bid,ask,bid_size,ask_size,funding_rate,returns,volatility,trend,momentum,regime
1611532800000,41.827,43.4241,40.5364,41.8347,2778238.02,1611619199999,117399838.4063164,336526,1437150.416,60745745.8923321,0,2021-01-25,2021-01-25 23:59:59.999,binance,BNBUSDT,5.0,41.824241325,41.845158675,277823.802,277823.802,0.00010769798236096462,0.00020083057788977676,,,,ranging
1611619200000,41.8347,42.598,39.6955,41.8396,2758108.622,1611705599999,113401083.8483374,336515,1412818.169,58139352.1954479,0,2021-01-26,2021-01-26 23:59:59.999,binance,BNBUSDT,5.0,41.8291401,41.8500599,275810.86220000003,275810.86220000003,9.029066502106457e-05,0.00011712764762261685,,,,ranging
1611705600000,41.8397,42.0984,39.6102,40.8826,2638401.378,1611791999999,108149178.3593736,367923,1347626.69,55247217.2769438,0,2021-01-27,2021-01-27 23:59:59.999,binance,BNBUSDT,5.0,40.872379349999996,40.89282065,263840.1378,263840.1378,0.00012891842705105915,-0.0228730676201494,,,,ranging
1611792000000,40.8957,43.085,40.317,42.5254,2984098.651,1611878399999,125825473.6606247,366517,1605987.652,67792465.5603934,0,2021-01-28,2021-01-28 23:59:59.999,binance,BNBUSDT,5.0,42.51476865,42.53603135,298409.8651,298409.8651,-2.6378584531252503e-05,0.04018335428764308,,,,ranging
1611878400000,42.5277,44.0,41.8017,42.8618,3433689.484,1611964799999,147364483.4547029,481047,1728245.52,74215737.7248485,0,2021-01-29,2021-01-29 23:59:59.999,binance,BNBUSDT,5.0,42.85108455,42.87251545000001,343368.94840000005,343368.94840000005,-0.00013062445726891593,0.007910566390910034,,,,ranging
1611964800000,42.8653,45.1071,42.5911,44.7849,2767954.291,1612051199999,121803577.410981,408399,1380161.055,60779677.9527693,0,2021-01-30,2021-01-30 23:59:59.999,binance,BNBUSDT,5.0,44.773703775,44.79609622500001,276795.4291,276795.4291,5.9973339709633284e-05,0.04486745773625933,,,,ranging
1612051200000,44.8022,45.8269,43.3,44.3292,2431692.198,1612137599999,107955886.1665317,356678,1272280.642,56490926.295949,0,2021-01-31,2021-01-31 23:59:59.999,binance,BNBUSDT,5.0,44.3181177,44.340282300000005,243169.2198,243169.2198,-0.0001497752127057367,-0.010175304622763504,3.985632446316215,,0.17346900958804734,high_vol
1612137600000,44.3291,52.3736,43.4331,51.4781,6095055.413,1612223999999,294440153.8956684,674212,3139861.584,151650053.087841,0,2021-02-01,2021-02-01 23:59:59.999,binance,BNBUSDT,5.0,51.465230475,51.490969525000004,609505.5413,609505.5413,-8.854569522147891e-05,0.16126841901049405,4.786543960466467,,0.34642757192066553,high_vol
1612224000000,51.4762,53.0,49.1572,51.0071,4675040.877,1612310399999,237619391.9434699,667934,2324364.12,118106043.9454521,0,2021-02-02,2021-02-02 23:59:59.999,binance,BNBUSDT,5.0,50.994348225,51.01985177500001,467504.08770000003,467504.08770000003,-0.00014518974903899117,-0.009149521835498886,4.6438481635912705,,0.23631097376234633,high_vol
1612310400000,51.029,52.7,49.7823,52.12,2949735.036,1612396799999,150776117.8031686,462818,1478021.885,75613932.0146984,0,2021-02-03,2021-02-03 23:59:59.999,binance,BNBUSDT,5.0,52.10697,52.133030000000005,294973.5036,294973.5036,6.498563425819742e-05,0.02181853114566401,4.645015344111413,,0.26709989230137143,high_vol
1612396800000,52.12,57.0547,51.25,55.9599,4004741.294,1612483199999,215002299.8179948,579484,2009170.327,107865218.5724451,0,2021-02-04,2021-02-04 23:59:59.999,binance,BNBUSDT,5.0,55.945910024999996,55.973889975,400474.12940000003,400474.12940000003,5.241363620009474e-05,0.07367421335379887,4.773430502369498,,0.33805255141445034,high_vol
1612483200000,55.9593,68.73,55.9202,67.7005,5040545.223,1612569599999,306515082.6292277,682891,2553628.244,155384183.3269051,0,2021-02-05,2021-02-05 23:59:59.999,binance,BNBUSDT,5.0,67.683574875,67.717425125,504054.52230000007,504054.52230000007,-0.00013958863408708932,0.20980380593961057,5.8585882791854385,,0.6026935468979706,high_vol
1612569600000,67.6217,75.5,61.7,72.8356,8482528.531,1612655999999,595983260.0097728,1151480,4308346.676,302785733.720596,0,2021-02-06,2021-02-06 23:59:59.999,binance,BNBUSDT,5.0,72.8173911,72.8538089,848252.8531,848252.8531,3.780241710720739e-07,0.07585025221379449,5.938717316346949,,0.6715841075166158,high_vol
1612656000000,72.8693,74.8199,64.1803,68.3542,5969908.442,1612742399999,413359634.3580308,851424,3021096.543,209312842.4879326,0,2021-02-07,2021-02-07 23:59:59.999,binance,BNBUSDT,5.0,68.33711145000001,68.37128855000002,596990.8442,596990.8442,0.00013691236909630497,-0.06152760463289919,6.045931816254311,,0.6138020587402022,high_vol
1612742400000,68.355,79.8823,67.6152,79.8374,7860567.389,1612828799999,573806461.5287857,1279676,4120260.435,301029214.69672287,0,2021-02-08,2021-02-08 23:59:59.999,binance,BNBUSDT,5.0,79.81744065000001,79.85735935000001,786056.7389000001,786056.7389000001,-2.1852246523627833e-05,0.16799552917011673,6.563654439788013,,0.8207804706724837,high_vol
1612828800000,79.8734,116.24,78.0381,107.3469,12487305.868,1612915199999,1222317019.460554,1979175,6447029.417,630568283.4422902,0,2021-02-09,2021-02-09 23:59:59.999,binance,BNBUSDT,5.0,107.32006327500001,107.37373672500001,1248730.5868000002,1248730.5868000002,5.08080590017428e-05,0.34456908666865416,8.489147781520865,,1.5315814173963695,high_vol
1612915200000,107.3496,148.4,107.2811,128.9711,16613534.274,1613001599999,2139218096.5096064,2836233,8398597.777,1082406763.2562406,0,2021-02-10,2021-02-10 23:59:59.999,binance,BNBUSDT,5.0,128.93885722500002,129.00334277500002,1661353.4274000002,1661353.4274000002,-0.00010486068850104658,0.20144224006468758,8.603470044708006,,2.3790905327583225,high_vol
1613001600000,128.9463,132.8,117.7289,124.085,5920400.255,1613087999999,737374300.5875953,1185612,3047395.251,379874522.73723775,0,2021-02-11,2021-02-11 23:59:59.999,binance,BNBUSDT,5.0,124.05397875,124.11602125,592040.0255,592040.0255,-0.00017663247149721258,-0.03788523165267266,8.690725984182185,,2.243704596370062,high_vol
1613088000000,124.1129,141.32,120.89,136.6139,5626020.824,1613174399999,740055607.987079,1155321,2942482.779,386870697.1807119,0,2021-02-12,2021-02-12 23:59:59.999,binance,BNBUSDT,5.0,136.57974652500002,136.648053475,562602.0824000001,562602.0824000001,0.0001239016181026041,0.10097030261514295,8.745506999670884,,2.405862173845839,high_vol
1613174400000,136.7321,138.5067,125.0,133.3496,3785723.402,1613260799999,497454132.37548685,936880,1928761.338,253709480.2782892,0,2021-02-13,2021-02-13 23:59:59.999,binance,BNBUSDT,5.0,133.31626260000002,133.38293740000003,378572.3402,378572.3402,0.00016236685201863302,-0.02389434750051045,8.82555121312869,,2.184673399837124,high_vol
1613260800000,133.3498,139.0,128.4615,135.8623,4405507.885,1613347199999,588209671.8743159,919313,2232139.512,298343025.8263316,0,2021-02-14,2021-02-14 23:59:59.999,binance,BNBUSDT,5.0,135.828334425,135.89626557500003,440550.7885,440550.7885,-2.1395558133551587e-06,0.018842951159958377,8.757059721638516,,2.3245152544363643,high_vol
1613347200000,135.8623,139.369,118.0,130.303,4772752.806,1613433599999,617209050.2792228,953125,2344720.725,303521358.68746114,0,2021-02-15,2021-02-15 23:59:59.999,binance,BNBUSDT,5.0,130.27042425,130.33557575,477275.2806,477275.2806,7.12408001988903e-05,-0.0409186360013043,8.87505959675843,,2.0203282184414255,high_vol
