open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp,close_timestamp,exchange,symbol,spread_bps,bid,ask,bid_size,ask_size,funding_rate,returns,volatility,trend,momentum,regime
1609430400000,28782.01,29000.0,28311.0,28897.83,10279.179141,1609444799999,294879212.3894579,232343,5242.95856,150507955.41384083,0,2020-12-31 16:00:00,2020-12-31 19:59:59.999,binance,BTCUSDT,5.0,28890.6055425,28905.054457500006,1027.9179141000002,1027.9179141000002,-6.917555413858167e-06,,,,,ranging
1609444800000,28897.84,29169.55,28780.0,28923.63,7875.879035,1609459199999,228504927.44326457,175976,3691.598479,107107628.00888008,0,2020-12-31 20:00:00,2020-12-31 23:59:59.999,binance,BTCUSDT,5.0,28916.399092500003,28930.860907500002,787.5879035,787.5879035,7.343415274883919e-05,0.0008928006012907108,,,,ranging
1609459200000,28923.63,29470.0,28690.17,29278.4,11560.456553,1609473599999,337730077.5570941,262441,6354.750111,185675832.60984153,0,2021-01-01 00:00:00,2021-01-01 03:59:59.999,binance,BTCUSDT,5.0,29271.080400000003,29285.719600000004,1156.0456553000001,1156.0456553000001,0.0003078353347317806,0.01226574949271586,,,,ranging
1609473600000,29278.41,29395.0,28806.54,29092.83,7308.910274,1609487999999,212959808.12097633,196772,3437.053243,100170352.33508396,0,2021-01-01 04:00:00,2021-01-01 07:59:59.999,binance,BTCUSDT,5.0,29085.556792500003,29100.103207500004,730.8910274,730.8910274,-0.0001444250646844156,-0.006338119569375356,,,,ranging
1609488000000,29092.84,29402.57,28872.24,29313.49,8283.705319,1609502399999,241843536.24794328,195352,4554.094883,132989690.4973169,0,2021-01-01 08:00:00,2021-01-01 11:59:59.999,binance,BTCUSDT,5.0,29306.1616275,29320.818372500005,828.3705319000001,828.3705319000001,-2.8070314068404012e-05,0.00758468667365797,,,,ranging
1609502400000,29313.49,29600.0,29030.14,29188.67,11794.949515,1609516799999,346262815.4359047,269572,5950.099715,174770117.20762047,0,2021-01-01 12:00:00,2021-01-01 15:59:59.999,binance,BTCUSDT,5.0,29181.372832499997,29195.9671675,1179.4949515,1179.4949515,2.8737850156390005e-05,-0.004258107785869325,,,,ranging
1609516800000,29188.67,29360.0,28624.57,29029.04,9850.965345,1609531199999,286439126.23657554,237490,4347.017575,126457429.93102376,0,2021-01-01 16:00:00,2021-01-01 19:59:59.999,binance,BTCUSDT,5.0,29021.782740000002,29036.297260000003,985.0965345000001,985.0965345000001,3.933640473565514e-05,-0.00546890283113266,,,,ranging
1609531200000,29029.04,29338.89,28880.37,29331.69,5383.938005,1609545599999,157291625.56337875,153283,2812.786198,82184321.96421748,0,2021-01-01 20:00:00,2021-01-01 23:59:59.999,binance,BTCUSDT,5.0,29324.3570775,29339.0229225,538.3938005,538.3938005,-5.1767105824448516e-05,0.010425766749434295,,,,ranging
1609545600000,29331.7,29469.0,28946.53,29351.95,7393.028526,1609559999999,216316507.26705596,166125,3690.672938,108013435.66927,0,2021-01-02 00:00:00,2021-01-02 03:59:59.999,binance,BTCUSDT,5.0,29344.6120125,29359.287987500004,739.3028526,739.3028526,1.533323165677501e-05,0.0006907205142288042,,,,ranging
1609560000000,29351.95,29820.5,29220.0,29750.0,9865.642845,1609574399999,291957821.46943516,202762,6322.783094,187156091.77645305,0,2021-01-02 04:00:00,2021-01-02 07:59:59.999,binance,BTCUSDT,5.0,29742.5625,29757.437500000004,986.5642845000001,986.5642845000001,-7.291970912840111e-05,0.013561279574270113,,,,ranging
1609574400000,29751.47,29899.0,29473.91,29755.0,9226.804608,1609588799999,274369857.0248629,197876,4393.189362,130664922.088974,0,2021-01-02 08:00:00,2021-01-02 11:59:59.999,binance,BTCUSDT,5.0,29747.561250000002,29762.43875,922.6804608000001,922.6804608000001,6.195749083549252e-05,0.0001680672268906669,,,,ranging
1609588800000,29754.99,31800.0,29741.39,31691.29,34028.973399,1609603199999,1050932902.1150658,568973,18735.443501,577688213.6588075,0,2021-01-02 12:00:00,2021-01-02 15:59:59.999,binance,BTCUSDT,5.0,31683.3671775,31699.212822500005,3402.8973399000006,3402.8973399000006,-0.00014195971354317787,0.06507444127037476,,,,ranging
1609603200000,31691.09,33300.0,31616.42,33027.2,34849.617798,1609617599999,1137521994.5657008,558167,17910.376313,584851099.4984124,0,2021-01-02 16:00:00,2021-01-02 19:59:59.999,binance,BTCUSDT,5.0,33018.9432,33035.4568,3484.9617798,3484.9617798,4.1458118573876183e-05,0.042153853629814275,,,,ranging
1609617600000,33027.2,33061.37,30300.0,32178.33,34629.806186,1609631999999,1102743081.2294204,552019,16393.840038,521960961.1952289,0,2021-01-02 20:00:00,2021-01-02 23:59:59.999,binance,BTCUSDT,5.0,32170.285417500003,32186.374582500004,3462.9806186000005,3462.9806186000005,2.2114042166005898e-05,-0.02570214853211883,,,,ranging
1609632000000,32176.45,32884.09,31962.99,32573.87,10890.302907,1609646399999,354166675.80315745,228605,5439.988071,176900512.45244795,0,2021-01-03 00:00:00,2021-01-03 03:59:59.999,binance,BTCUSDT,5.0,32565.7265325,32582.0134675,1089.0302907,1089.0302907,-9.118121584116239e-05,0.012292123301613112,,,,ranging
1609646400000,32576.11,34778.11,32450.0,34452.34,26286.126296,1609660799999,890390017.737399,468152,13754.822482,465470008.52080655,0,2021-01-03 04:00:00,2021-01-03 07:59:59.999,binance,BTCUSDT,5.0,34443.726915,34460.953085,2628.6126296,2628.6126296,-2.941282583375355e-05,0.05766800199055244,,,,ranging
1609660800000,34451.78,34670.41,33403.0,34413.53,22651.532867,1609675199999,772577341.6201434,438165,10987.166837,374834425.48906136,0,2021-01-03 08:00:00,2021-01-03 11:59:59.999,binance,BTCUSDT,5.0,34404.9266175,34422.133382500004,2265.1532867,2265.1532867,6.530184764795004e-05,-0.0011264837163454944,,,,ranging
1609675200000,34413.53,34600.0,32727.0,33506.62,23240.077177,1609689599999,785083115.4879142,430705,11010.248268,372146448.65953416,0,2021-01-03 12:00:00,2021-01-03 15:59:59.999,binance,BTCUSDT,5.0,33498.243345,33514.996655,2324.0077177,2324.0077177,7.882318946135188e-05,-0.02635329767100314,,,,ranging
1609689600000,33505.15,33822.69,32267.0,32772.21,22427.187643,1609703999999,739419782.9814188,432712,10953.33222,361219054.18250275,0,2021-01-03 16:00:00,2021-01-03 19:59:59.999,binance,BTCUSDT,5.0,32764.0169475,32780.403052500005,2242.7187643,2242.7187643,-4.535713102872647e-05,-0.02191835523845742,,,,ranging
1609704000000,32775.1,33861.92,32600.0,33000.05,15462.33986,1609718399999,515961491.8619836,371359,7604.774993,253857984.6274934,0,2021-01-03 20:00:00,2021-01-03 23:59:59.999,binance,BTCUSDT,5.0,32991.7999875,33008.3000125,1546.2339860000002,1546.2339860000002,-0.00010643051343216759,0.00695223178418547,,,,ranging
