open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp,close_timestamp,exchange,symbol,spread_bps,bid,ask,bid_size,ask_size,funding_rate,returns,volatility,trend,momentum,regime
1717171200000,3744.77,3758.42,3723.75,3754.16,22972.6297,1717174799999,85900348.404433,52109,12043.9972,45033645.831514,0,2024-05-31 16:00:00,2024-05-31 16:59:59.999,binance,ETHUSDT,5.0,3753.2214599999998,3755.09854,2297.26297,2297.26297,8.44929841724274e-06,,,,,ranging
1717174800000,3754.16,3770.74,3750.43,3768.16,8070.4107,1717178399999,30368824.359555,26235,4215.4019,15861692.748601,0,2024-05-31 17:00:00,2024-05-31 17:59:59.999,binance,ETHUSDT,5.0,3767.21796,3769.10204,807.0410700000001,807.0410700000001,5.652152512540381e-05,0.003729196411447644,,,,ranging
1717178400000,3768.16,3788.62,3764.02,3785.89,13462.0592,1717181999999,50865684.083368,28688,6942.0499,26226998.725083,0,2024-05-31 18:00:00,2024-05-31 18:59:59.999,binance,ETHUSDT,5.0,3784.9435275,3786.8364725,1346.20592,1346.20592,4.6620055987187065e-05,0.004705214215956932,,,,ranging
1717182000000,3785.89,3794.62,3775.1,3785.45,12105.5931,1717185599999,45826932.394598,25324,5093.1875,19282978.14627,0,2024-05-31 19:00:00,2024-05-31 19:59:59.999,binance,ETHUSDT,5.0,3784.5036375,3786.3963625,1210.55931,1210.55931,-2.1565466242989577e-05,-0.00011622102068475915,,,,ranging
1717185600000,3785.45,3800.94,3778.2,3794.56,5965.1538,1717189199999,22609750.540218,20411,3467.175,13141578.874406,0,2024-05-31 20:00:00,2024-05-31 20:59:59.999,binance,ETHUSDT,5.0,3793.61136,3795.5086400000005,596.51538,596.51538,-7.909118073997569e-05,0.0024065831010844363,,,,ranging
1717189200000,3794.56,3795.59,3779.93,3785.51,9950.0125,1717192799999,37670929.080619,24694,4639.9089,17564395.67552,0,2024-05-31 21:00:00,2024-05-31 21:59:59.999,binance,ETHUSDT,5.0,3784.5636225000003,3786.4563775000006,995.0012500000001,995.0012500000001,0.0002119839082107311,-0.002384993253499723,,,,ranging
1717192800000,3785.51,3790.65,3767.36,3770.38,5125.4409,1717196399999,19369936.231164,16667,2440.1134,9221443.149546,0,2024-05-31 22:00:00,2024-05-31 22:59:59.999,binance,ETHUSDT,5.0,3769.437405,3771.3225950000005,512.54409,512.54409,-3.0787248764962584e-05,-0.003996819451011935,,,,ranging
1717196400000,3770.38,3774.14,3742.0,3762.29,11822.5826,1717199999999,44446504.264984,35174,5713.3794,21478993.767469,0,2024-05-31 23:00:00,2024-05-31 23:59:59.999,binance,ETHUSDT,5.0,3761.3494275000003,3763.2305725,1182.25826,1182.25826,-1.9035736270753194e-05,-0.002145672319501024,,,,ranging
1717200000000,3762.29,3768.66,3752.67,3764.15,6432.9727,1717203599999,24202516.735816,14361,3448.4039,12973847.997028,0,2024-06-01 00:00:00,2024-06-01 00:59:59.999,binance,ETHUSDT,5.0,3763.2089625000003,3765.0910375000003,643.29727,643.29727,6.175482581194012e-05,0.0004943797527570126,,,,ranging
1717203600000,3764.15,3776.19,3759.22,3766.79,5351.1208,1717207199999,20156579.558374,13940,2666.2347,10043757.427387,0,2024-06-01 01:00:00,2024-06-01 01:59:59.999,binance,ETHUSDT,5.0,3765.8483025,3767.7316975000003,535.11208,535.11208,0.00018446375749124963,0.0007013535592363951,,,,ranging
1717207200000,3766.79,3779.36,3766.0,3777.79,3479.6136,1717210799999,13125496.750267,11503,1810.302,6828959.032351,0,2024-06-01 02:00:00,2024-06-01 02:59:59.999,binance,ETHUSDT,5.0,3776.8455525,3778.7344475000004,347.96136,347.96136,-0.0001601101614091637,0.0029202583632217394,,,,ranging
1717210800000,3777.79,3782.07,3774.51,3778.98,3898.7589,1717214399999,14731974.116469,11127,2029.3998,7668492.304753,0,2024-06-01 03:00:00,2024-06-01 03:59:59.999,binance,ETHUSDT,5.0,3778.0352550000002,3779.9247450000003,389.87589,389.87589,9.330040436518758e-05,0.00031499898088571676,,,,ranging
1717214400000,3778.98,3785.26,3771.19,3784.35,3846.3542,1717217999999,14533519.703975,10727,2180.1281,8238632.634424,0,2024-06-01 04:00:00,2024-06-01 04:59:59.999,binance,ETHUSDT,5.0,3783.4039125,3785.2960875000003,384.63542000000007,384.63542000000007,-4.091946212290099e-05,0.0014210183700362755,,,,ranging
1717218000000,3784.35,3794.11,3778.33,3789.79,6063.0824,1717221599999,22959051.068654,29483,3365.9055,12746363.639722,0,2024-06-01 05:00:00,2024-06-01 05:59:59.999,binance,ETHUSDT,5.0,3788.8425525000002,3790.7374475,606.3082400000001,606.3082400000001,1.4921918873882768e-05,0.0014374991742307497,,,,ranging
1717221600000,3789.79,3791.81,3782.31,3788.84,5030.0455,1717225199999,19045470.603926,11848,2246.7515,8508068.88422,0,2024-06-01 06:00:00,2024-06-01 06:59:59.999,binance,ETHUSDT,5.0,3787.8927900000003,3789.7872100000004,503.00455000000005,503.00455000000005,-4.6620448462826944e-05,-0.00025067352016860944,,,,ranging
1717225200000,3788.84,3790.67,3770.31,3773.0,4903.5483,1717228799999,18541277.118634,21103,1935.7478,7320618.295777,0,2024-06-01 07:00:00,2024-06-01 07:59:59.999,binance,ETHUSDT,5.0,3772.05675,3773.9432500000003,490.35483000000005,490.35483000000005,2.648286657043113e-05,-0.004180699105794994,,,,ranging
1717228800000,3772.99,3802.0,3772.43,3799.11,11748.8694,1717232399999,44490696.528916,22058,6041.1016,22874137.775896,0,2024-06-01 08:00:00,2024-06-01 08:59:59.999,binance,ETHUSDT,5.0,3798.1602225,3800.0597775000006,1174.88694,1174.88694,-0.00015238820021797853,0.006920222634508422,,,,ranging
1717232400000,3799.11,3809.55,3788.48,3793.14,8704.6185,1717235999999,33054847.920346,41774,5203.9081,19762493.113706,0,2024-06-01 09:00:00,2024-06-01 09:59:59.999,binance,ETHUSDT,5.0,3792.191715,3794.0882850000003,870.4618500000001,870.4618500000001,5.981047048494592e-05,-0.0015714206748422832,,,,ranging
1717236000000,3793.14,3796.05,3784.07,3785.99,3260.1453,1717239599999,12356708.754686,11657,1532.3631,5808121.772703,0,2024-06-01 10:00:00,2024-06-01 10:59:59.999,binance,ETHUSDT,5.0,3785.0435024999997,3786.9364975000003,326.01453000000004,326.01453000000004,3.769921529716351e-05,-0.0018849818356295733,,,,ranging
1717239600000,3785.99,3793.39,3782.07,3788.28,4303.1593,1717243199999,16301558.27499,12734,2065.3405,7824106.7045,0,2024-06-01 11:00:00,2024-06-01 11:59:59.999,binance,ETHUSDT,5.0,3787.3329300000005,3789.2270700000004,430.31593000000004,430.31593000000004,5.695237610221159e-06,0.0006048616081923974,,,,ranging
1717243200000,3788.28,3806.97,3787.0,3795.71,6240.3949,1717246799999,23694317.046681,17139,3521.2767,13368785.764063,0,2024-06-01 12:00:00,2024-06-01 12:59:59.999,binance,ETHUSDT,5.0,3794.7610725,3796.6589275000006,624.0394900000001,624.0394900000001,8.824213677092777e-05,0.001961312257805714,,,,ranging
1717246800000,3795.71,3809.8,3795.3,3802.01,5232.4455,1717250399999,19905417.720156,15640,3003.1708,11423943.551216,0,2024-06-01 13:00:00,2024-06-01 13:59:59.999,binance,ETHUSDT,5.0,3801.0594975000004,3802.9605025000005,523.24455,523.24455,1.665441305348743e-05,0.001659768528154304,,,,ranging
1717250400000,3802.01,3814.67,3797.0,3809.66,5739.4996,1717253999999,21848057.029243,17948,3074.9441,11706774.473432,0,2024-06-01 14:00:00,2024-06-01 14:59:59.999,binance,ETHUSDT,5.0,3808.707585,3810.612415,573.94996,573.94996,0.00011738064028471901,0.0020120936031202685,,,,ranging
1717254000000,3809.66,3812.69,3798.17,3798.6,5988.1808,1717257599999,22793413.913008,17565,2697.735,10271016.828111,0,2024-06-01 15:00:00,2024-06-01 15:59:59.999,binance,ETHUSDT,5.0,3797.65035,3799.5496500000004,598.81808,598.81808,3.3805066172384316e-05,-0.0029031462125228558,,,,ranging
1717257600000,3798.6,3806.43,3794.15,3799.0,5596.9092,1717261199999,21270964.382639,17964,2947.541,11202275.251013,0,2024-06-01 16:00:00,2024-06-01 16:59:59.999,binance,ETHUSDT,5.0,3798.0502500000002,3799.94975,559.69092,559.69092,-6.40949180255621e-05,0.00010530195335123338,,,,ranging
1717261200000,3799.0,3809.09,3790.21,3807.01,5935.6776,1717264799999,22545429.756316,17024,3646.7536,13852880.632437,0,2024-06-01 17:00:00,2024-06-01 17:59:59.999,binance,ETHUSDT,5.0,3806.0582475,3807.9617525000003,593.56776,593.56776,1.1827886505984437e-05,0.002108449591997852,,,,ranging
1717264800000,3807.01,3809.81,3797.71,3802.0,4140.3878,1717268399999,15740075.811642,13162,1896.6635,7209914.114911,0,2024-06-01 18:00:00,2024-06-01 18:59:59.999,binance,ETHUSDT,5.0,3801.0495,3802.9505000000004,414.0387800000001,414.0387800000001,3.5128264673745936e-06,-0.0013159933911390809,,,,ranging
1717268400000,3801.99,3806.73,3797.15,3804.51,2493.4532,1717271999999,9481008.998002,10260,1267.3773,4818807.055083,0,2024-06-01 19:00:00,2024-06-01 19:59:59.999,binance,ETHUSDT,5.0,3803.5588725000002,3805.4611275000007,249.34532000000002,249.34532000000002,6.412306405259165e-05,0.000660178853235216,,,,ranging
1717272000000,3804.5,3807.5,3799.0,3806.78,3852.6661,1717275599999,14651691.488807,11145,1821.7855,6928585.481479,0,2024-06-01 20:00:00,2024-06-01 20:59:59.999,binance,ETHUSDT,5.0,3805.8283050000005,3807.7316950000004,385.26661,385.26661,8.513715413250374e-05,0.0005966602795104414,,,,ranging
1717275600000,3806.78,3822.0,3805.5,3815.51,7398.4506,1717279199999,28214159.359565,19087,4712.7873,17974355.528529,0,2024-06-01 21:00:00,2024-06-01 21:59:59.999,binance,ETHUSDT,5.0,3814.5561225,3816.4638775000008,739.8450600000001,739.8450600000001,6.461657245038091e-05,0.0022932767325667403,,,,ranging
1717279200000,3815.5,3833.3,3815.5,3821.86,8282.8056,1717282799999,31671435.817222,19581,4919.3558,18810588.803581,0,2024-06-01 22:00:00,2024-06-01 22:59:59.999,binance,ETHUSDT,5.0,3820.904535,3822.8154650000006,828.28056,828.28056,-4.7017658819061596e-05,0.0016642598237195383,0.2310406215328162,,0.018033328361071632,ranging
1717282800000,3821.86,3823.39,3813.12,3815.82,4764.0408,1717286399999,18184954.379522,10547,2332.6326,8903032.984561,0,2024-06-01 23:00:00,2024-06-01 23:59:59.999,binance,ETHUSDT,5.0,3814.866045,3816.7739550000006,476.40408,476.40408,-0.0001114301008332143,-0.0015803823269298078,0.22709147375607822,,0.012648082883954137,ranging
1717286400000,3815.82,3836.25,3814.0,3835.3,5719.4885,1717289999999,21868091.458414,14031,3370.3495,12887421.078634,0,2024-06-02 00:00:00,2024-06-02 00:59:59.999,binance,ETHUSDT,5.0,3834.3411750000005,3836.2588250000003,571.9488500000001,571.9488500000001,-4.66892040222178e-05,0.005105062607775102,0.22946005593736596,,0.01305109234552515,ranging
1717290000000,3835.3,3838.59,3822.5,3824.0,7291.8452,1717293599999,27939174.494373,16426,3481.4254,13342102.865364,0,2024-06-02 01:00:00,2024-06-02 01:59:59.999,binance,ETHUSDT,5.0,3823.0440000000003,3824.956,729.18452,729.18452,1.1193358020649148e-06,-0.002946314499517655,0.2365026480142574,,0.010183729807552666,ranging
1717293600000,3824.0,3826.46,3797.7,3806.5,16733.8008,1717297199999,63799218.232592,29397,7642.6952,29140401.739046,0,2024-06-02 02:00:00,2024-06-02 02:59:59.999,binance,ETHUSDT,5.0,3805.5483750000003,3807.451625,1673.3800800000001,1673.3800800000001,0.00016947699709047348,-0.0045763598326359345,0.24790595752390648,,0.0031466098836228085,ranging
1717297200000,3806.5,3811.17,3802.71,3807.13,10617.5403,1717300799999,40417821.760488,31795,5514.1527,20990636.739029,0,2024-06-02 03:00:00,2024-06-02 03:59:59.999,binance,ETHUSDT,5.0,3806.1782175000003,3808.0817825000004,1061.75403,1061.75403,3.292486651546216e-05,0.00016550637068180052,0.24395762042844188,,0.005711251588293331,ranging
